Item_ID,Reference_Designator,Description,Primary_MPN,Manufacturer,Qty_Per_Assembly,Unit_Cost_USD,Extended_Cost_USD,Preferred_Supplier,Alternative_Suppliers,Lead_Time_Weeks,Availability_Status,Risk_Level,Quality_Grade,RoHS_Compliant,REACH_Compliant,Certifications,Assembly_Notes,Inspection_Requirements
MOT-001,M1-M6,Brushless Motor 2212 920KV,T-MOTOR_MN2212_920KV,T-Motor,6,28.50,171.00,GetFPV,"EMAX|SunnySky|Racerstar",2.0,In Stock,Low,Industrial,TRUE,TRUE,"CE|FCC",Mount with blue Loctite 243 on M3 bolts,Verify KV rating and direction of rotation
ESC-001,E1-E6,Electronic Speed Controller 30A BLHeli_32,TEKKO32_F3_30A,Holybro,6,22.99,137.94,Holybro Store,"GetFPV|RDQ|Banggood",1.0,In Stock,Low,Professional,TRUE,TRUE,"CE|FCC|IC",Program with BLHeli_32 Suite before installation,Test PWM response and thermal performance
PROP-001,P1-P6,Carbon Fiber Propeller 10x4.5,APC_10x4.5_CF,APC Propellers,12,15.75,189.00,APC Direct,"Master Airscrew|HQProp",1.5,In Stock,Low,Professional,TRUE,TRUE,"CE",Balance propellers before installation. Spare set included.,Static and dynamic balancing required
SBC-001,U1,Single Board Computer NVIDIA Jetson AGX Orin 32GB,JETSON_AGX_ORIN_32GB_DEV_KIT,NVIDIA,1,1999.00,1999.00,Arrow Electronics,"Digi-Key|Mouser|Newark",8.0,Limited Stock,Medium,Industrial,TRUE,TRUE,"FCC|CE|IC|UKCA",Install heatsink and thermal pads. Requires 19V 65W power supply.,Verify boot sequence and AI performance benchmarks
FC-001,U2,Flight Controller Pixhawk 6X with IMU redundancy,PIXHAWK_6X_STANDARD,Holybro,1,299.00,299.00,Holybro Store,"PX4|Dronecode",3.0,In Stock,Low,Professional,TRUE,TRUE,"CE|FCC",Flash PX4 firmware v1.14+. Calibrate IMU and compass.,IMU noise analysis and compass calibration verification
IMU-001,U3,Inertial Measurement Unit ICM-42688-P,ICM-42688-P,TDK InvenSense,1,8.45,8.45,Digi-Key,"Mouser|Arrow|Avnet",4.0,In Stock,Low,Automotive,TRUE,TRUE,"AEC-Q100",Mount with vibration isolation. Align with vehicle axes.,Noise floor and bias stability testing
GPS-001,U4,GNSS Receiver with RTK M8P,ZED-F9P_BREAKOUT,u-blox,1,189.99,189.99,SparkFun,"Adafruit|Digi-Key",2.0,In Stock,Low,Industrial,TRUE,TRUE,"CE|FCC",Mount with clear sky view. Connect RTK correction data.,Verify RTK fix acquisition time and accuracy
UWB-001,U5-U8,Ultra-Wideband Ranging Module DWM3000,DWM3000_DEV_BOARD,Qorvo,4,45.00,180.00,Digi-Key,"Mouser|Arrow",6.0,In Stock,Medium,Industrial,TRUE,TRUE,"CE|FCC|IC",Configure as anchors or tags. Requires antenna tuning.,Range accuracy and multipath rejection testing
CAM-001,C1,RGB-D Camera Intel RealSense D435i,INTEL_REALSENSE_D435I,Intel,1,279.00,279.00,Intel Store,"B&H|Amazon|CDW",4.0,In Stock,Low,Consumer,TRUE,TRUE,"FCC|CE",Mount rigidly to minimize vibration. USB 3.0 required.,Depth accuracy calibration and IMU synchronization
LID-001,L1,3D LiDAR Sensor Velodyne VLP-16,VLP-16_PUCK_LITE,Velodyne Lidar,1,3999.00,3999.00,Velodyne Direct,"Robotshop|Allied Vision",12.0,Limited Stock,High,Industrial,TRUE,TRUE,"CE|FCC",Requires 12V power and Ethernet connection. Weatherproof mounting.,Point cloud quality and range accuracy verification
DOCK-001,D1-D6,Magnetic Docking Connector Assembly,MOSAIC_DOCK_V2,Custom Manufacturing,6,125.00,750.00,Custom Manufacturer,"Backup Supplier",8.0,Custom,Medium,Industrial,TRUE,TRUE,"CE",Precision machined aluminum. Gold-plated contacts.,Retention force and electrical continuity testing
MAG-001,MG1-MG36,Neodymium Magnet N52 20x5mm,N52_20x5_DISC,K&J Magnetics,36,2.15,77.40,K&J Magnetics,"Apex Magnets|Master Magnetics",1.0,In Stock,Low,Industrial,TRUE,TRUE,None,Handle with care. Magnetized assembly required.,Magnetic field strength and uniformity measurement
POGO-001,J1-J48,Pogo Pin Contact 1mm Gold Plated,POGO_1MM_2A_GOLD,Mill-Max,48,1.25,60.00,Digi-Key,"Mouser|Newark",2.0,In Stock,Low,Professional,TRUE,TRUE,"RoHS",Press-fit installation. Verify contact force.,Contact resistance and retention force testing
FRAME-001,F1,Carbon Fiber Airframe Assembly,MOSAIC_FRAME_CF_V3,Custom Manufacturing,1,450.00,450.00,Custom Manufacturer,"Backup CF Supplier",6.0,Custom,Medium,Aerospace,TRUE,TRUE,"AS9100",Autoclave cured carbon fiber. Precision machined interfaces.,Dimensional inspection and non-destructive testing
ARM-001,A1-A6,Rotating Arm Assembly with Slip Ring,MOSAIC_ARM_SR_V2,Custom Manufacturing,6,185.00,1110.00,Custom Manufacturer,"Backup Supplier",8.0,Custom,Medium,Industrial,TRUE,TRUE,"CE",Precision bearings and slip ring assembly.,Torque testing and electrical continuity verification
SERVO-001,S1-S6,Digital Servo High Torque 20kg-cm,SAVOX_SH-1290MG,Savox,6,89.99,539.94,Tower Hobbies,"Horizon Hobby|AMain",2.0,In Stock,Low,Professional,TRUE,TRUE,"CE|FCC",Program for 270° rotation. Calibrate endpoints.,Torque curve and backlash measurement
SLIP-001,SR1-SR6,Slip Ring 6-circuit 5A per circuit,MERCOTAC_M230,Mercotac,6,125.00,750.00,Mercotac Direct,"Moog|Schleifring",4.0,In Stock,Medium,Industrial,TRUE,TRUE,"CE",Low-noise design for signal integrity.,Electrical noise and contact resistance testing
BAT-001,B1,LiPo Battery 6S 22000mAh 25C,TATTU_22000_25C_6S,Tattu,1,299.99,299.99,GetFPV,"Banggood|HobbyKing",3.0,In Stock,Low,Professional,TRUE,TRUE,"UN38.3|CE",Balance charge only. Temperature monitoring required.,Capacity and internal resistance testing
BMS-001,BM1,Battery Management System 6S 60A,DALY_BMS_6S_60A,Daly BMS,1,89.00,89.00,AliExpress,"Daly Direct|Battery Hookup",4.0,In Stock,Medium,Industrial,TRUE,TRUE,"CE",Configure cell voltage limits and current limits.,Cell balancing and protection function testing
CHG-001,CH1,Battery Charger 6S 10A with Balance,ISDT_Q8_PLUS,ISDT,1,159.99,159.99,ISDT Store,"ProgressiveRC|GetFPV",2.0,In Stock,Low,Professional,TRUE,TRUE,"CE|FCC",Use appropriate charging profile for LiPo chemistry.,Charge current accuracy and safety function testing
PWR-001,PM1,Power Distribution Board with Current Sensing,MATEK_PDB_XT60,Matek Systems,1,25.99,25.99,GetFPV,"Banggood|RDQ",1.0,In Stock,Low,Professional,TRUE,TRUE,"CE|FCC",Solder XT60 connector. Verify current sensor calibration.,Current measurement accuracy and thermal testing
LED-001,LED1-LED4,RGB LED Strip Programmable WS2812B,WS2812B_STRIP_1M,Adafruit,4,14.95,59.80,Adafruit,"SparkFun|Amazon",1.0,In Stock,Low,Consumer,TRUE,TRUE,"CE|FCC",Cut to length. Waterproof connections for outdoor use.,Color accuracy and PWM frequency verification
BUZZ-001,BZ1,Piezo Buzzer 5V High Volume,CEM-1203_42,CUI Devices,1,3.45,3.45,Digi-Key,"Mouser|Newark",1.0,In Stock,Low,Industrial,TRUE,TRUE,"CE",Mount securely to prevent vibration noise.,Sound pressure level and frequency response testing
SW-001,SW1,Emergency Stop Switch Illuminated,A22NE-M-02A,Omron,1,45.67,45.67,Digi-Key,"Mouser|RS Components",2.0,In Stock,Low,Industrial,TRUE,TRUE,"CE|UL",Wire to flight controller safety input.,Contact reliability and illumination function testing
CONN-001,J10-J20,Connector XT60 Male/Female Pairs,XT60_CONNECTOR_PAIR,AMASS,11,2.99,32.89,HobbyKing,"Banggood|Amazon",1.0,In Stock,Low,Professional,TRUE,TRUE,"CE",Solder with appropriate heat. Verify polarity.,Contact resistance and retention force testing
WIRE-001,W1,Silicone Wire 12AWG High Temp Red/Black,SILICONE_12AWG_200C,Deans,10,1.25,12.50,Deans Direct,"Castle Creations|Amazon",1.0,In Stock,Low,Professional,TRUE,TRUE,"UL",Use appropriate gauge for current rating.,Insulation integrity and current carrying capacity testing
HEAT-001,HS1-HS6,Heat Shrink Tubing Assortment,HEAT_SHRINK_ASSORT,3M,1,15.99,15.99,Digi-Key,"Mouser|Amazon",1.0,In Stock,Low,Industrial,TRUE,TRUE,"UL",Use 2:1 shrink ratio. Apply heat evenly.,Shrinkage ratio and insulation properties verification
FAST-001,Various,Fastener Kit M2/M3/M4 Stainless Steel,FASTENER_KIT_SS316,McMaster-Carr,1,89.99,89.99,McMaster-Carr,"Fastenal|Grainger",1.0,In Stock,Low,Industrial,TRUE,TRUE,"ASTM",Use appropriate torque values. Apply thread locker where specified.,Torque retention and corrosion resistance testing
SEAL-001,Various,O-Ring Kit Viton 70 Shore A,ORING_KIT_VITON_70A,Parker Hannifin,1,45.99,45.99,Parker Store,"McMaster-Carr|Grainger",2.0,In Stock,Low,Industrial,TRUE,TRUE,"FDA",Select appropriate size for application. Lubricate with compatible grease.,Compression set and chemical compatibility testing
GREASE-001,G1,Dielectric Grease Silicone Based,MOLYKOTE_111,Dow Corning,1,12.99,12.99,McMaster-Carr,"Grainger|MSC",1.0,In Stock,Low,Industrial,TRUE,TRUE,"NSF",Apply thin layer to electrical connections.,Dielectric strength and temperature stability testing
TAPE-001,T1,Kapton Tape High Temperature 25mm,KAPTON_TAPE_25MM,3M,1,19.99,19.99,Digi-Key,"McMaster-Carr|Amazon",1.0,In Stock,Low,Industrial,TRUE,TRUE,"UL",Use for high-temperature electrical insulation.,Adhesion strength and temperature resistance testing
